ds,hierarchy_2_code,item_id,y
2021-10-24,101,3935,0.0
2021-10-24,15,1403,152.0
2021-10-24,82,1138428,1.0
2021-10-24,101,3906,1.0
2021-10-24,54,945593,3.0
2021-10-24,82,1078620,2.0
2021-10-24,43,17269,3.0
2021-10-24,15,971991,0.0
2021-10-24,72,977410,4.0
2021-10-24,71,440500,34.0
2021-10-24,61,494937,5.0
2021-10-24,15,1394,10.965
2021-10-24,15,376635,22.0
2021-10-25,60,937937,10.0
2021-10-25,82,955764,2.0
2021-10-25,101,3935,0.0
2021-10-25,15,1403,93.0
2021-10-25,82,1138428,0.0
2021-10-25,101,3906,1.0
2021-10-25,54,945593,3.0
2021-10-25,82,1078620,1.0
2021-10-25,43,17269,0.0
2021-10-25,15,971991,0.0
2021-10-25,72,977410,16.0
2021-10-25,71,440500,20.0
2021-10-25,61,494937,4.0
2021-10-25,15,1394,20.3
2021-10-25,15,376635,6.0
2021-10-26,60,937937,13.0
2021-10-26,82,955764,0.0
2021-10-26,101,3935,0.0
2021-10-26,15,1403,93.0
2021-10-26,82,1138428,1.0
2021-10-26,101,3906,1.0
2021-10-26,54,945593,0.0
2021-10-26,82,1078620,1.0
2021-10-26,43,17269,2.0
2021-10-26,15,971991,0.0
2021-10-26,72,977410,16.0
2021-10-26,71,440500,24.0
2021-10-26,61,494937,3.0
2021-10-26,15,1394,14.175
2021-10-26,15,376635,11.0
2021-10-27,60,937937,10.0
2021-10-27,82,955764,0.0
2021-10-27,101,3935,0.0
2021-10-27,15,1403,92.0
2021-10-27,82,1138428,0.0
2021-10-27,101,3906,1.0
2021-10-27,54,945593,8.0
2021-10-27,82,1078620,2.0
2021-10-27,43,17269,0.0
2021-10-27,15,971991,0.0
2021-10-27,72,977410,10.0
2021-10-27,71,440500,33.0
2021-10-27,61,494937,5.0
2021-10-27,15,1394,8.05
2021-10-27,15,376635,9.0
2021-10-28,60,937937,12.0
2021-10-28,82,955764,2.0
2021-10-28,101,3935,2.0
2021-10-28,15,1403,96.0
2021-10-28,82,1138428,1.0
2021-10-28,101,3906,7.0
2021-10-28,54,945593,9.0
2021-10-28,82,1078620,0.0
2021-10-28,43,17269,1.0
2021-10-28,15,971991,0.0
2021-10-28,72,977410,16.0
2021-10-28,71,440500,35.0
2021-10-28,61,494937,5.0
2021-10-28,15,1394,5.365
2021-10-28,15,376635,11.0
2021-10-29,60,937937,7.0
2021-10-29,82,955764,2.0
2021-10-29,101,3935,1.0
2021-10-29,15,1403,110.0
2021-10-29,82,1138428,2.0
2021-10-29,101,3906,1.0
2021-10-29,54,945593,7.0
2021-10-29,82,1078620,0.0
2021-10-29,43,17269,1.0
2021-10-29,15,971991,0.0
2021-10-29,72,977410,27.0
2021-10-29,71,440500,61.0
2021-10-29,61,494937,10.0
2021-10-29,15,1394,12.223999999999998
2021-10-29,15,376635,10.0
2021-10-30,60,937937,18.0
2021-10-30,82,955764,0.0
2021-10-30,101,3935,0.0
2021-10-30,15,1403,109.0
2021-10-30,82,1138428,1.0
2021-10-30,101,3906,0.0
2021-10-30,54,945593,0.0
2021-10-30,82,1078620,2.0
2021-10-30,43,17269,3.0
2021-10-30,15,971991,0.0
2021-10-30,72,977410,15.0
2021-10-30,71,440500,48.0
2021-10-30,61,494937,8.0
2021-10-30,15,1394,12.215
2021-10-30,15,376635,24.0
2021-10-31,60,937937,11.0
2021-10-31,82,955764,1.0
2021-10-31,101,3935,2.0
2021-10-31,15,1403,86.0
2021-10-31,82,1138428,1.0
2021-10-31,101,3906,0.0
2021-10-31,54,945593,4.0
2021-10-31,82,1078620,3.0
2021-10-31,43,17269,1.0
2021-10-31,15,971991,0.0
2021-10-31,72,977410,14.0
2021-10-31,71,440500,44.0
2021-10-31,61,494937,6.0
2021-10-31,15,1394,15.935
2021-10-31,15,376635,15.0
2021-11-01,60,937937,22.0
2021-11-01,82,955764,0.0
2021-11-01,101,3935,1.0
2021-11-01,15,1403,67.0
2021-11-01,82,1138428,0.0
2021-11-01,101,3906,4.0
2021-11-01,54,945593,8.0
2021-11-01,82,1078620,1.0
2021-11-01,43,17269,3.0
2021-11-01,15,971991,0.0
2021-11-01,72,977410,6.0
2021-11-01,71,440500,21.0
2021-11-01,61,494937,6.0
2021-11-01,15,1394,7.861
2021-11-01,15,376635,17.0
2021-11-02,60,937937,22.0
2021-11-02,82,955764,3.0
2021-11-02,101,3935,0.0
2021-11-02,15,1403,107.0
2021-11-02,82,1138428,3.0
2021-11-02,101,3906,2.0
2021-11-02,54,945593,1.0
2021-11-02,82,1078620,1.0
2021-11-02,43,17269,1.0
2021-11-02,15,971991,0.0
2021-11-02,72,977410,14.0
2021-11-02,71,440500,20.0
2021-11-02,61,494937,5.0
2021-11-02,15,1394,11.984
2021-11-02,15,376635,12.0
2021-11-03,60,937937,20.0
2021-11-03,82,955764,1.0
2021-11-03,101,3935,0.0
2021-11-03,15,1403,79.0
2021-11-03,82,1138428,3.0
2021-11-03,101,3906,0.0
2021-11-03,54,945593,1.0
2021-11-03,82,1078620,0.0
2021-11-03,43,17269,4.0
2021-11-03,15,971991,0.0
2021-11-03,72,977410,18.0
2021-11-03,71,440500,31.0
2021-11-03,61,494937,12.0
2021-11-03,15,1394,11.21
2021-11-03,15,376635,4.0
2021-11-04,60,937937,11.0
2021-11-04,82,955764,4.0
2021-11-04,101,3935,4.0
2021-11-04,15,1403,119.0
2021-11-04,82,1138428,2.0
2021-11-04,101,3906,0.0
2021-11-04,54,945593,2.0
2021-11-04,82,1078620,0.0
2021-11-04,43,17269,2.0
2021-11-04,15,971991,0.0
2021-11-04,72,977410,6.0
2021-11-04,71,440500,28.0
2021-11-04,61,494937,11.0
2021-11-04,15,1394,16.645
2021-11-04,15,376635,12.0
2021-11-05,60,937937,5.0
2021-11-05,82,955764,1.0
2021-11-05,101,3935,1.0
2021-11-05,15,1403,127.0
2021-11-05,82,1138428,4.0
2021-11-05,101,3906,2.0
2021-11-05,54,945593,1.0
2021-11-05,82,1078620,1.0
2021-11-05,43,17269,0.0
2021-11-05,15,971991,0.0
2021-11-05,72,977410,17.0
2021-11-05,71,440500,24.0
2021-11-05,61,494937,8.0
2021-11-05,15,1394,13.825
2021-11-05,15,376635,9.0
2021-11-06,60,937937,10.0
2021-11-06,82,955764,4.0
2021-11-06,101,3935,1.0
2021-11-06,15,1403,129.0
2021-11-06,82,1138428,1.0
2021-11-06,101,3906,3.0
2021-11-06,54,945593,3.0
2021-11-06,82,1078620,1.0
2021-11-06,43,17269,0.0
2021-11-06,15,971991,0.0
2021-11-06,72,977410,4.0
2021-11-06,71,440500,50.0
2021-11-06,61,494937,3.0
2021-11-06,15,1394,16.339
2021-11-06,15,376635,19.0
2021-11-07,60,937937,11.0
2021-11-07,82,955764,0.0
2021-11-07,101,3935,3.0
2021-11-07,15,1403,133.0
2021-11-07,82,1138428,0.0
2021-11-07,101,3906,3.0
2021-11-07,54,945593,0.0
2021-11-07,82,1078620,0.0
2021-11-07,43,17269,1.0
2021-11-07,15,971991,0.0
2021-11-07,72,977410,18.0
2021-11-07,71,440500,31.0
2021-11-07,61,494937,3.0
2021-11-07,15,1394,3.755
2021-11-07,15,376635,13.0
2021-11-08,60,937937,19.0
2021-11-08,82,955764,0.0
2021-11-08,101,3935,0.0
2021-11-08,15,1403,134.0
2021-11-08,82,1138428,3.0
2021-11-08,101,3906,0.0
2021-11-08,54,945593,6.0
2021-11-08,82,1078620,0.0
2021-11-08,43,17269,2.0
2021-11-08,15,971991,0.0
2021-11-08,72,977410,8.0
2021-11-08,71,440500,24.0
2021-11-08,61,494937,10.0
2021-11-08,15,1394,15.338
2021-11-08,15,376635,9.0
2021-11-09,60,937937,16.0
2021-11-09,82,955764,4.0
2021-11-09,101,3935,0.0
2021-11-09,15,1403,78.0
2021-11-09,82,1138428,0.0
2021-11-09,101,3906,0.0
2021-11-09,54,945593,5.0
2021-11-09,82,1078620,0.0
2021-11-09,43,17269,1.0
2021-11-09,15,971991,0.0
2021-11-09,72,977410,24.0
2021-11-09,71,440500,28.0
2021-11-09,61,494937,3.0
2021-11-09,15,1394,12.449
2021-11-09,15,376635,8.0
2021-11-10,60,937937,17.0
2021-11-10,82,955764,0.0
2021-11-10,101,3935,0.0
2021-11-10,15,1403,35.0
2021-11-10,82,1138428,2.0
2021-11-10,101,3906,1.0
2021-11-10,54,945593,6.0
2021-11-10,82,1078620,0.0
2021-11-10,43,17269,2.0
2021-11-10,15,971991,0.0
2021-11-10,72,977410,4.0
2021-11-10,71,440500,15.0
2021-11-10,61,494937,0.0
2021-11-10,15,1394,9.537
2021-11-10,15,376635,11.0
2021-11-11,60,937937,8.0
2021-11-11,82,955764,3.0
2021-11-11,101,3935,1.0
2021-11-11,15,1403,86.0
2021-11-11,82,1138428,1.0
2021-11-11,101,3906,1.0
2021-11-11,54,945593,6.0
2021-11-11,82,1078620,0.0
2021-11-11,43,17269,0.0
2021-11-11,15,971991,0.0
2021-11-11,72,977410,5.0
2021-11-11,71,440500,22.0
2021-11-11,61,494937,4.0
2021-11-11,15,1394,11.56
2021-11-11,15,376635,5.0
2021-11-12,60,937937,12.0
2021-11-12,82,955764,1.0
2021-11-12,101,3935,1.0
2021-11-12,15,1403,125.0
2021-11-12,82,1138428,0.0
2021-11-12,101,3906,4.0
2021-11-12,54,945593,1.0
2021-11-12,82,1078620,0.0
2021-11-12,43,17269,2.0
2021-11-12,15,971991,0.0
2021-11-12,72,977410,11.0
2021-11-12,71,440500,36.0
2021-11-12,61,494937,5.0
2021-11-12,15,1394,12.313
2021-11-12,15,376635,10.0
2021-11-13,60,937937,12.0
2021-11-13,82,955764,2.0
2021-11-13,101,3935,1.0
2021-11-13,15,1403,85.0
2021-11-13,82,1138428,1.0
2021-11-13,101,3906,2.0
2021-11-13,54,945593,3.0
2021-11-13,82,1078620,0.0
2021-11-13,43,17269,1.0
2021-11-13,15,971991,0.0
2021-11-13,72,977410,25.0
2021-11-13,71,440500,35.0
2021-11-13,61,494937,7.0
2021-11-13,15,1394,21.185
2021-11-13,15,376635,10.0
2021-11-14,60,937937,17.0
2021-11-14,82,955764,0.0
2021-11-14,101,3935,3.0
2021-11-14,15,1403,65.0
